knetwk       kstnm      stla      stlo             stel
NCISP6       NE00       39.9900   124.3070          44
NCISP6       NE01       40.0650   124.2200          95
NCISP6       NE02       40.1390   124.1330         196
NCISP6       NE03       40.2130   124.0450         149
NCISP6       NE04       40.2880   123.9580         126
NCISP6       NE05       40.3620   123.8700         121
NCISP6       NE06       40.4360   123.7820         192
NCISP6       NE07       40.5110   123.6940         369
NCISP6       NE08       40.5850   123.6050         193
NCISP6       NE09       40.6590   123.5170         191
NCISP6       NE10       40.7330   123.4280         285
NCISP6       NE11       40.8070   123.3390         282
NCISP6       NE12       40.8800   123.2500         293
NCISP6       NE14       41.0280   123.0710         209
NCISP6       NE15       41.1010   122.9810         108
NCISP6       NE16       41.2120   122.8460          16
NCISP6       NE17       41.3220   122.7110          15
NCISP6       NE18       41.4320   122.5750          12
NCISP6       NE19       41.5420   122.4380          18
NCISP6       NE20       41.6510   122.3020          22
NCISP6       NE21       41.7610   122.1640          33
NCISP6       NE22       41.8700   122.0260          89
NCISP6       NE23       41.9790   121.8880         570
NCISP6       NE24       42.0880   121.7490         238
NCISP6       NE25       42.1970   121.6100         393
NCISP6       NE26       42.3060   121.4700         464
NCISP6       NE27       42.4140   121.3300         338
NCISP6       NE28       42.5230   121.1900         388
NCISP6       NE29       42.6310   121.0480         427
NCISP6       NE30       42.7390   120.9070         380
NCISP6       NE31       42.8460   120.7650         371
NCISP6       NE32       42.9540   120.6220         359
NCISP6       NE33       43.0620   120.4790         361
NCISP6       NE34       43.1690   120.3350         333
NCISP6       NE35       43.2760   120.1910         360
NCISP6       NE36       43.3830   120.0460         379
NCISP6       NE37       43.4900   119.9010         391
NCISP6       NE38       43.5960   119.7560         404
NCISP6       NE39       43.7020   119.6090         464
NCISP6       NE40       43.8090   119.4630         575
NCISP6       NE41       43.9150   119.3150         527
NCISP6       NE42       44.0200   119.1680         685
NCISP6       NE43       44.1260   119.0190         727
NCISP6       NE44       44.2310   118.8710         835
NCISP6       NE45       44.3370   118.7210        1060
NCISP6       NE46       44.4420   118.5710        1252
NCISP6       NE47       44.5460   118.4210        1184
NCISP6       NE48       44.6510   118.2700        1166
NCISP6       NE49       44.7550   118.1180        1070
NCISP6       NE50       44.8600   117.9660         968
NCISP6       NE51       44.9640   117.8140         946
NCISP6       NE52       45.0670   117.6610        1029
NCISP6       NE53       45.1710   117.5070         960
NCISP6       NE54       45.2740   117.3530         847
NCISP6       NE55       45.3780   117.1980         836
NCISP6       NE56       45.4810   117.0420         945
NCISP6       NE57       45.5830   116.8860         879
NCISP6       NE58       45.6860   116.7300        1130
NCISP6       NE59       45.7880   116.5730        1047
NCISP6       NE60       45.8900   116.4150         962
